Element;X;Y;Z;XY;YZ;XZ
163;0.9916;-0.9706;-0.0197;-0.2714;-0.0669;0.0522
164;0.9758;-0.9653;-0.0185;-0.5867;-0.0962;0.0725
165;0.9100;-0.9080;-0.0031;-0.8179;-0.1089;0.0406
166;0.8714;-0.8743;0.0005;-0.8940;-0.1222;-0.0150
167;0.8275;-0.8274;-0.0019;-0.8977;-0.1301;-0.0584
168;0.7892;-0.7802;-0.0096;-0.8310;-0.1287;-0.0592
169;0.7847;-0.7823;-0.0024;-0.7281;-0.1251;-0.0551
170;0.7735;-0.7765;0.0021;-0.5970;-0.1223;-0.0604
171;0.7770;-0.7741;-0.0047;-0.4648;-0.1138;-0.0585
172;0.7919;-0.7851;-0.0072;-0.3324;-0.1084;-0.0496
173;0.7948;-0.7920;-0.0041;-0.2278;-0.1049;-0.0369
174;0.7807;-0.7767;-0.0052;-0.1558;-0.1089;-0.0441
175;0.7578;-0.7526;-0.0069;-0.0850;-0.1117;-0.0397
176;0.7495;-0.7444;-0.0059;-0.0165;-0.1150;-0.0282
177;0.7459;-0.7401;-0.0065;0.0608;-0.1221;-0.0088
178;0.7559;-0.7559;-0.0014;0.1252;-0.1186;0.0075
179;0.7951;-0.7997;0.0032;0.1564;-0.1074;-0.0016
180;0.8576;-0.8528;-0.0055;0.1747;-0.0810;-0.0312
181;0.9595;-0.9420;-0.0172;0.1616;-0.0505;-0.0631
182;1.0970;-1.0691;-0.0299;0.1602;-0.0075;-0.0618
183;1.2744;-1.2634;-0.0143;0.2790;0.0264;0.0001
186;1.0064;-0.9870;-0.0222;-0.2844;-0.0299;-0.0135
187;0.9796;-0.9634;-0.0218;-0.5989;-0.0547;-0.0418
188;0.9006;-0.8883;-0.0129;-0.8174;-0.0555;-0.0240
189;0.8462;-0.8523;0.0041;-0.8852;-0.0590;-0.0363
190;0.8098;-0.8216;0.0103;-0.8975;-0.0525;-0.0408
191;0.7717;-0.7848;0.0131;-0.8246;-0.0482;-0.0384
192;0.7690;-0.7760;0.0061;-0.7139;-0.0455;-0.0367
193;0.7631;-0.7624;-0.0025;-0.5724;-0.0430;-0.0375
194;0.7622;-0.7624;-0.0003;-0.4282;-0.0438;-0.0367
195;0.7821;-0.7867;0.0042;-0.3022;-0.0392;-0.0356
196;0.7851;-0.7929;0.0055;-0.2197;-0.0388;-0.0423
197;0.7641;-0.7723;0.0076;-0.1450;-0.0444;-0.0251
198;0.7446;-0.7562;0.0093;-0.0745;-0.0429;-0.0222
199;0.7333;-0.7451;0.0106;-0.0011;-0.0329;-0.0121
200;0.7273;-0.7432;0.0138;0.0889;-0.0308;-0.0057
201;0.7371;-0.7528;0.0151;0.1510;-0.0231;-0.0123
202;0.7730;-0.7850;0.0110;0.1779;-0.0097;-0.0302
203;0.8420;-0.8447;0.0014;0.1894;-0.0102;-0.0199
204;0.9516;-0.9310;-0.0198;0.1697;-0.0144;-0.0131
205;1.1023;-1.0667;-0.0380;0.1544;-0.0110;-0.0174
206;1.2956;-1.2506;-0.0493;0.2633;0.0027;-0.0483
209;0.9980;-0.9720;-0.0278;-0.2870;0.0119;0.0057
210;0.9718;-0.9585;-0.0201;-0.5838;0.0306;0.0130
211;0.8958;-0.8949;-0.0044;-0.8075;0.0259;-0.0044
212;0.8415;-0.8560;0.0137;-0.8856;0.0321;0.0095
213;0.8087;-0.8280;0.0184;-0.8961;0.0346;0.0105
214;0.7715;-0.7900;0.0177;-0.8306;0.0378;0.0168
215;0.7675;-0.7790;0.0106;-0.7254;0.0367;0.0291
216;0.7620;-0.7651;0.0017;-0.5805;0.0361;0.0393
217;0.7628;-0.7639;0.0003;-0.4374;0.0383;0.0460
218;0.7805;-0.7856;0.0053;-0.3196;0.0428;0.0559
219;0.7801;-0.7896;0.0071;-0.2342;0.0424;0.0523
220;0.7609;-0.7693;0.0079;-0.1513;0.0402;0.0316
221;0.7444;-0.7566;0.0102;-0.0687;0.0362;0.0207
222;0.7337;-0.7461;0.0103;0.0024;0.0297;0.0177
223;0.7264;-0.7404;0.0122;0.0909;0.0287;0.0106
224;0.7350;-0.7551;0.0187;0.1531;0.0293;0.0144
225;0.7723;-0.7876;0.0139;0.1870;0.0209;0.0372
226;0.8457;-0.8479;0.0016;0.1932;0.0167;0.0373
227;0.9503;-0.9379;-0.0120;0.1592;0.0171;0.0403
228;1.1010;-1.0651;-0.0380;0.1395;0.0101;0.0403
229;1.2977;-1.2507;-0.0515;0.2498;-0.0073;0.0436
