Element;X;Y;Z;XY;YZ;XZ
163;180.9888;91.1898;139.1523;88.8815;-16.7981;2.6730
164;-284.2137;-411.0308;-344.2680;76.8335;-15.9091;5.2391
165;-30.1387;-185.7244;-108.4438;60.6889;-20.3554;-5.7002
166;-7.1724;-178.0406;-96.3930;52.1136;-13.4209;2.9364
167;-88.9685;-282.9724;-183.2292;27.8060;-1.5218;3.1839
168;-65.2216;-261.0331;-154.3171;24.0614;-2.7662;3.2135
169;31.9140;-163.5011;-55.2390;18.7519;-15.8921;4.4996
170;28.2209;-159.7043;-61.0302;29.2596;-21.1075;8.3856
171;248.3083;57.9529;155.8007;22.9734;-22.8965;4.7610
172;91.6768;-98.2257;1.1360;19.6195;-23.7030;15.4711
173;-0.4488;-195.4967;-78.6445;9.2187;-21.5532;4.8330
174;33.9045;-157.8540;-35.0913;9.4740;-24.5436;9.0801
175;-69.5372;-260.4258;-150.9372;-7.3491;-28.3348;13.2704
176;83.9529;-87.9199;-5.0785;-45.2575;-27.7474;1.3851
177;37.4617;-142.8748;-57.7971;-28.8014;-34.4743;3.9813
178;-93.3116;-268.6289;-181.2082;-36.0826;-31.4721;6.8685
179;-161.4576;-293.6927;-225.6832;-70.6756;-26.1688;12.2312
180;-172.5688;-305.7601;-233.6299;-64.5767;-38.2485;-4.7161
181;-177.6624;-283.3086;-238.7972;-71.1591;-47.2610;-9.8898
182;-188.0391;-222.9093;-215.0925;-97.2199;-19.2615;-7.1270
183;-407.1994;-406.2359;-412.6274;-100.9023;-1.1049;-3.7369
186;207.8213;134.7115;182.5196;93.8020;-2.7791;4.8290
187;-305.3839;-434.5910;-355.3663;75.9753;-7.7186;-5.5447
188;11.7294;-158.2703;-48.1226;52.1844;-5.1885;4.7359
189;-26.5300;-207.1550;-92.9360;41.1546;-3.5982;5.5001
190;-105.9655;-296.1014;-181.0207;29.5707;-8.3167;4.5213
191;-50.1159;-238.3759;-134.4220;35.6036;-6.6925;1.8148
192;-28.1596;-219.1470;-124.2685;32.3661;-6.0228;2.3071
193;-69.5466;-263.5463;-160.2397;26.8768;-7.9719;-0.4302
194;162.3419;-27.4022;80.2902;32.0377;-11.0393;-2.1328
195;-2.2982;-198.0062;-80.8805;19.2843;-11.7012;-0.5656
196;-30.9537;-229.0759;-110.7571;4.2246;-12.7878;-9.3488
197;167.4532;-31.6204;63.0591;1.9441;-14.1304;-4.4575
198;-16.6527;-214.3672;-134.4275;0.6723;-17.7450;0.9702
199;15.5544;-162.2820;-65.1006;-45.6269;-13.0969;5.0772
200;-42.5405;-236.7321;-122.6156;-23.6285;-6.8739;-8.8671
201;64.4180;-121.3684;-11.1435;-36.9181;-4.3794;-2.5458
202;-82.5925;-250.8245;-160.0335;-55.5762;-5.3777;0.5951
203;-145.0499;-293.6958;-218.6585;-68.2611;-0.5018;-4.9433
204;-233.1740;-372.0270;-315.1080;-72.6805;7.2305;1.1910
205;-569.5278;-596.2502;-591.3814;-99.7713;-6.6920;-2.5818
206;-102.6426;-106.5624;-109.2106;-100.7038;-7.4035;-1.1626
209;285.3390;206.5380;257.9376;92.7019;3.3068;1.8357
210;-407.8893;-536.5044;-455.6661;76.7581;6.8369;-5.1531
211;168.9148;-20.1941;96.2285;31.2755;9.6406;-6.1067
212;-99.0431;-277.5322;-161.6472;40.7032;11.1135;-10.6106
213;-58.8055;-245.7956;-122.2222;29.0072;16.2005;-7.8461
214;-79.6362;-262.5958;-151.0630;38.5323;14.6541;2.5020
215;-112.7302;-298.6604;-188.9165;37.3350;8.1123;-1.0457
216;-129.8867;-324.0793;-212.8424;24.7250;5.5492;-8.4776
217;242.6190;47.6159;159.2511;21.8879;9.6103;-7.9851
218;-149.7111;-341.0872;-237.0336;27.1525;8.9811;-9.4747
219;86.1292;-113.8802;-17.9625;6.3010;7.2292;10.4816
220;244.3313;42.8181;134.8506;-0.6191;5.0094;-2.3642
221;-102.8516;-300.9728;-200.8524;-13.0848;9.9856;-9.2003
222;-24.0957;-202.1795;-106.2354;-44.9821;13.9532;-6.7763
223;15.5559;-174.1993;-73.3775;-29.5625;11.1044;-13.1633
224;44.7244;-139.5725;-44.7177;-38.5912;5.4330;-7.2969
225;-15.0502;-179.0525;-101.8907;-58.0210;4.8025;-4.5501
226;-64.2626;-180.5529;-132.1698;-81.7778;8.0907;-6.5303
227;-202.3156;-310.0620;-266.3235;-83.8803;11.8543;-9.7647
228;-450.1462;-496.5357;-478.7374;-97.1870;10.7821;-5.6992
229;-180.3066;-181.9616;-186.2427;-100.9262;2.8019;2.2350
232;21.5529;-71.7948;-25.9469;88.3200;14.2825;-5.0252
233;-273.0236;-396.5722;-331.2006;77.6459;17.8873;-6.2544
234;150.9872;-30.0402;64.8710;34.2094;28.7901;-3.1634
235;-146.8810;-326.9318;-233.3050;40.1316;21.3266;-5.8373
236;-48.8341;-239.4163;-136.2675;25.5188;20.8622;-4.5740
237;-65.6660;-234.8255;-126.9192;50.8549;16.0669;-5.3713
238;-29.2642;-195.3138;-83.8120;53.9460;11.5965;-0.5029
239;41.2858;-154.1181;-33.4908;10.1971;15.3471;-12.1639
240;62.4997;-127.9437;-22.4993;12.5731;21.6663;-21.1977
241;308.0685;129.6815;218.2922;36.2733;23.1417;-19.7091
242;-69.5297;-261.2390;-151.3720;-12.0260;23.6853;-15.7847
243;187.3341;0.6395;109.4613;1.4444;32.6129;-18.6844
244;-43.8728;-225.3304;-127.5642;-16.0558;33.5866;-23.9637
245;-57.3965;-231.8821;-136.0937;-37.2978;27.9545;-20.0026
246;-95.5717;-278.0125;-182.9491;-25.1138;30.4837;-13.6994
247;-35.3360;-200.4532;-111.6491;-49.3342;28.4019;-11.7845
248;-26.1177;-165.3639;-84.4156;-64.7046;29.0981;4.9052
249;-173.8128;-278.8427;-219.0239;-81.7979;27.0078;3.5222
250;-199.4330;-319.6757;-263.0294;-70.1582;30.4022;22.6428
251;-340.9236;-371.6131;-372.8061;-96.2952;17.9506;16.9324
252;-200.0130;-204.6236;-208.9770;-91.5617;8.4011;1.4923
301;-1397.9724;-1459.0017;-1410.2867;89.9293;-32.5950;-4.1313
302;-144.5282;-223.6279;-170.6603;87.3722;-27.9153;-2.8347
303;-416.0663;-546.3403;-467.6461;70.0710;-31.4314;-2.5212
304;-355.0325;-498.0979;-421.4410;64.3082;-30.7368;-1.5349
305;-226.9405;-408.6925;-306.8088;33.8449;-26.8713;-5.3011
306;-245.7928;-435.7416;-328.2778;25.6791;-21.8333;0.3008
307;-171.5234;-349.1026;-247.3676;44.7312;-15.5542;5.1059
308;-198.6998;-391.3316;-277.6926;21.9679;-16.0538;2.5956
309;-238.3096;-428.3885;-320.5273;25.4123;-20.0283;8.6094
310;-179.4277;-376.2245;-267.6308;1.6149;-20.8445;7.3716
311;-156.5906;-339.7839;-234.1055;34.1176;-23.6777;5.2587
312;-129.7552;-323.9590;-218.1878;-4.4321;-24.0820;12.4463
313;-199.1083;-394.0143;-290.6858;-2.6817;-25.8129;5.1237
314;-401.3158;-597.6826;-488.9780;-10.0793;-20.7048;1.0818
315;-275.9771;-468.3153;-365.6574;-22.3656;-20.6654;4.3040
316;-212.4877;-393.3727;-305.5247;-33.4134;-26.6257;11.7395
317;-166.0843;-316.0268;-237.9117;-62.5602;-25.8850;0.7335
318;-291.0575;-446.2375;-363.8931;-43.7876;-46.0974;-11.7588
319;-375.3041;-472.2786;-428.7020;-77.4091;-34.7757;-13.7296
320;-284.5070;-396.7237;-371.3976;-71.9899;-39.5167;-0.4814
321;-1094.0370;-1143.9568;-1129.7671;-97.5250;-2.1225;-5.5705
324;-1447.9110;-1520.3979;-1460.8112;93.0507;-6.1842;-4.0530
325;-128.8384;-218.6820;-155.9645;89.6741;-6.0812;-2.5264
326;-464.9356;-598.6547;-514.1231;74.7658;-6.0054;-0.7734
327;-307.0764;-466.0966;-362.5134;60.2691;-7.8035;0.2124
328;-234.3384;-425.6481;-309.6758;25.9287;-13.0635;-5.0706
329;-143.8124;-337.1068;-219.3730;21.9064;-14.9324;-2.0708
330;-156.4006;-347.0627;-233.0606;28.5638;-11.7121;7.1459
331;111.4595;-81.5681;25.3791;28.4349;-6.8350;1.3660
332;-133.4920;-323.4967;-219.5660;31.3668;-7.7990;10.5647
333;-59.1452;-258.9289;-140.4233;2.7586;-10.1808;-1.7887
